   2	14708.4134	24685.7363	4078293.8156    2515163.3804    4195929.6748
   6	15092.3921	21815.5062	4077125.5630    2516300.0070    4196157.4602
  18	16361.6080	18451.5340	4075563.7946    2517483.7418    4197253.1415
  19	16270.0885	18268.3431	4075532.1848    2517592.2175    4197219.2422
  20	16741.2862	18807.4420	4075541.4822    2517205.2628    4197349.8014
  21	13529.1658	17694.3898	4076320.9442    2518661.1957    4196015.3404
  24	14051.1906	17759.4941	4076167.4849    2518489.0802    4196314.3875
  25	16044.8654	17084.2056	4075200.2952    2518186.2807    4197206.9820
  26	15869.4033	16364.8949	4074999.2070    2518544.1595    4197102.5849
  27	16688.5117	16568.8240	4074796.0536    2518223.4481    4197527.4833
  28	16385.8475	14371.7241	4074142.7445    2519295.8258    4197549.7753
  30	17536.5766	15797.5069	4074183.3082    2518283.0754    4197811.2348
  32	16868.9604	15689.9460	4074381.2235    2518525.8354    4197491.5170
  33	17952.3817	14713.9191	4073693.1271    2518676.3969    4198221.0399
  35	17830.2826	14552.8720	4073684.8266    2518788.4936    4198198.1924
  37	18796.9717	14132.8014	4073188.0349    2518685.1671    4198640.5668
  42	13310.0328	11004.5332	4074052.0830    2521679.1518    4196294.2508
  45	15978.9981	10565.0849	4072975.9960    2521117.2733    4197679.9413
  46	16365.7240	10341.7359	4072751.5276    2521098.4627    4197828.0343
  51	17255.9709	12398.8737	4073161.2763    2519931.9305    4198161.2497
  52	17182.9970	13180.0818	4073454.8343    2519599.9092    4198058.2744
  54	18498.7014	13895.7108	4073214.2814    2518879.9628    4198530.4934
  55	18571.3432	13685.4467	4073114.6848    2518951.5665    4198574.7457
  58	18998.6415	12068.4129	4072382.3106    2519529.6240    4198803.2619
  59	19294.8649	12389.4701	4072391.9850    2519302.3321    4198930.9354
  60	19469.2370	12011.6214	4072201.3429    2519420.3948    4199045.5247
  62	19786.5551	11357.7990	4071863.2335    2519620.8940    4199246.8732
  63	18853.4931	11386.5501	4072198.3884    2519874.6786    4198781.8542
  64	20418.2844	 9685.1063	4071099.7941    2520218.8979    4199835.8535
  65	18534.0787	10032.3802	4071844.9713    2520572.7866    4198740.2395
  66	17354.6935	10327.8029	4072379.6714    2520796.9081    4198218.6775
  68	18405.6838	 9176.5774	4071589.4496    2520986.8133    4198714.9584
  71	16020.4653	 9743.4535	4072682.5581    2521475.3578    4197784.5956
  74	19133.3264	 8685.3888	4071211.7131    2521040.1556    4199322.5500
  78	21613.5064	 9270.6720	4070519.4243    2520041.5291    4200369.3002
  79	21611.3319	 8645.9465	4070299.8771    2520316.7159    4200395.9470
  80	21235.2732	 7933.9000	4070187.9664    2520743.1008    4200274.0608
  84	19048.3814	 7787.3663	4070946.8407    2521477.4004    4199412.7060
  85	19198.6564	 5806.9535	4070168.7181    2522284.7326    4199469.3202
  86	15309.0578	 3895.9567	4070874.9735    2524250.6337    4197704.4152
  89	20099.2256	 4712.2010	4069453.3343    2522486.5952    4199865.7805
  90	20688.6794	 5182.5937	4069412.0089    2522108.4574    4200129.3098
  94	21983.8472	 4788.3404	4068838.1210    2521926.8148    4200866.0162
  95	22818.0692	 5033.4218	4068626.8862    2521572.8257    4201233.6256
  97	21195.3341	 4730.0891	4069094.1949    2522180.0639    4200486.1975
  98	18885.4595	 4202.5148	4069699.9392    2523059.8012    4199300.0209
 104	19378.7827	  701.2483	4068317.6275    2524474.6710    4199792.9849
 106	20551.3289	 3429.6034	4068852.6976    2522927.4325    4200184.1622
 117	16607.0481	18555.9006	4075504.9339    2517359.9040    4197327.0923
 119	17624.8478	15666.8181	4074109.1721    2518318.7709    4197863.8375
 120	17167.1836	12200.7195	4073127.0900    2520048.3598    4198150.9982
 122	17917.5775	13253.6900	4073211.9356    2519347.8106    4198365.0115
 158	10679.8239	  617.5166	4071405.3690    2527079.0137    4195878.1021
 181	16821.5089	 7769.5547	4071660.6551    2522071.4649    4198056.3696
 183	19395.1980	 9159.3316	4071294.1792    2520768.4289    4199470.5093
 184	18474.2680	 6198.1458	4070577.1199    2522330.0151    4199152.9992
 185	20476.9279	 7426.0224	4070297.5736    2521204.6811    4200020.1360
 186	17922.3097	 3217.9897	4069697.7984    2523775.8033    4198906.0093
 205	9967.3102	20713.9580	4078601.9970    2518325.8723    4194009.2619
 207	9730.6030	20813.1184	4078709.8432    2518340.5251    4193841.1208
 214	11286.1202	12006.6025	4075123.2115    2521829.5627    4195299.2904
 216	9437.3981	14262.0054	4076567.6841    2521370.6723    4194296.7542
 218	7599.1635	16700.8090	4078056.0408    2520816.1393    4193213.3085
 221	8479.8376	17907.1378	4078156.4129    2520009.9187    4193517.6972
 223	7912.8097	 4233.9525	4073625.8254    2526269.8964    4194268.8673
 227	5604.9991	11822.3376	4077083.9784    2523576.9961    4192681.0391
 230	5708.5102	 7869.1978	4075662.1384    2525295.0362    4192964.9844
 259	10953.3922	 1054.0324	4071457.5619    2526803.0520    4195969.7415
 260	12065.1029	 2955.5852	4071704.2724    2525619.0965    4196276.3229
 263	12398.9176	 8761.5088	4073584.4749    2522936.6719    4195944.4044
1911	9563.0588	21681.7114	4079044.3855    2517974.8478    4193578.3243
1941	6960.8568	21062.9908	4079764.7688    2519022.9132    4192450.4263
