   2	13752.375	24393.375	4078293.8156    2515163.3804    4195929.6748
   6	14494.375	21561.375	4077125.5630    2516300.0070    4196157.4602
  18	16884.515	18365.491	4075563.7946    2517483.7418    4197253.1415
  19	16822.052	18187.162	4075532.1848    2517592.2175    4197219.2422
  20	17111.554	18689.165	4075541.4822    2517205.2628    4197349.8014
  21	14223.764	17677.855	4076320.9442    2518661.1957    4196015.3404
  24	14827.454	17747.631	4076167.4849    2518489.0802    4196314.3875
  25	16864.283	17044.001	4075200.2952    2518186.2807    4197206.9820
  26	16705.045	16326.240	4074999.2070    2518544.1595    4197102.5849
  27	17584.345	16537.234	4074796.0536    2518223.4481    4197527.4833
  28	17746.758	14398.242	4074142.7445    2519295.8258    4197549.7753
  30	18340.763	15722.392	4074183.3082    2518283.0754    4197811.2348
  32	17666.266	15614.513	4074381.2235    2518525.8354    4197491.5170
  33	19204.981	14708.065	4073693.1271    2518676.3969    4198221.0399
  35	19151.875	14559.703	4073684.8266    2518788.4936    4198198.1924
  37	20157.946	14129.777	4073188.0349    2518685.1671    4198640.5668
  42	15223.484	11148.477	4074052.0830    2521679.1518    4196294.2508
  45	18187.500	10725.535	4072975.9960    2521117.2733    4197679.9413
  46	18551.962	10484.862	4072751.5276    2521098.4627    4197828.0343
  51	19131.236	12496.123	4073161.2763    2519931.9305    4198161.2497
  52	18883.727	13257.225	4073454.8343    2519599.9092    4198058.2744
  54	19923.458	13906.836	4073214.2814    2518879.9628    4198530.4934
  55	20032.829	13699.966	4073114.6848    2518951.5665    4198574.7457
  58	20667.612	12096.924	4072382.3106    2519529.6240    4198803.2619
  59	20920.715	12410.947	4072391.9850    2519302.3321    4198930.9354
  60	21183.492	12044.170	4072201.3429    2519420.3948    4199045.5247
  62	21649.421	11407.298	4071863.2335    2519620.8940    4199246.8732
  63	20662.780	11431.857	4072198.3884    2519874.6786    4198781.8542
  64	22908.328	 9825.360	4071099.7941    2520218.8979    4199835.8535
  65	20625.375	10124.950	4071844.9713    2520572.7866    4198740.2395
  66	19450.327	10446.171	4072379.6714    2520796.9081    4198218.6775
  68	20633.417	 9287.963	4071589.4496    2520986.8133    4198714.9584
  71	18441.815	 9934.587	4072682.5581    2521475.3578    4197784.5956
  74	21837.703	 8873.278	4071211.7131    2521040.1556    4199322.5500
  78	24119.411	 9395.384	4070519.4243    2520041.5291    4200369.3002
  79	24225.509	 8780.615	4070299.8771    2520316.7159    4200395.9470
  80	23992.112	 8095.655	4070187.9664    2520743.1008    4200274.0608
  84	22032.918	 8017.385	4070946.8407    2521477.4004    4199412.7060
  85	22364.570	 6034.456	4070168.7181    2522284.7326    4199469.3202
  86	18666.437	 4200.308	4070874.9735    2524250.6337    4197704.4152
  89	23334.986	 4939.446	4069453.3343    2522486.5952    4199865.7805
  90	23869.469	 5394.806	4069412.0089    2522108.4574    4200129.3098
  94	25426.244	 5026.810	4068838.1210    2521926.8148    4200866.0162
  95	26219.117	 5259.229	4068626.8862    2521572.8257    4201233.6256
  97	24613.329	 4975.103	4069094.1949    2522180.0639    4200486.1975
  98	22148.876	 4445.223	4069699.9392    2523059.8012    4199300.0209
 104	23391.127	 1031.485	4068317.6275    2524474.6710    4199792.9849
 106	24081.244	 3687.546	4068852.6976    2522927.4325    4200184.1622
 117	17061.138	18452.732	4075504.9339    2517359.9040    4197327.0923
 119	18466.089	15595.609	4074109.1721    2518318.7709    4197863.8375
 120	19105.792	12310.356	4073127.0900    2520048.3598    4198150.9982
 122	19558.793	13307.481	4073211.9356    2519347.8106    4198365.0115
 158	14805.984	 1086.807	4071405.3690    2527079.0137    4195878.1021
 181	19288.031	 7928.485	4071660.6551    2522071.4649    4198056.3696
 183	22090.934	 9341.876	4071294.1792    2520768.4289    4199470.5093
 184	21615.173	 6446.827	4070577.1199    2522330.0151    4199152.9992
 185	23428.005	 7626.383	4070297.5736    2521204.6811    4200020.1360
 186	21354.057	 3491.105	4069697.7984    2523775.8033    4198906.0093
 205	 9773.520	20603.463	4078601.9970    2518325.8723    4194009.2619
 207	 9436.261	20690.743	4078709.8432    2518340.5251    4193841.1208
 214	12994.069	12152.993	4075123.2115    2521829.5627    4195299.2904
 216	10686.807	14370.698	4076567.6841    2521370.6723    4194296.7542
 218	 8250.560	16749.982	4078056.0408    2520816.1393    4193213.3085
 221	 8847.916	17899.938	4078156.4129    2520009.9187    4193517.6972
 223	11161.132	 4625.600	4073625.8254    2526269.8964    4194268.8673
 227	 7304.263	12046.793	4077083.9784    2523576.9961    4192681.0391
 230	 8148.666	 8183.601	4075662.1384    2525295.0362    4192964.9844
 259	14985.540	 1505.798	4071457.5619    2526803.0520    4195969.7415
 260	15598.570	 3327.829	4071704.2724    2525619.0965    4196276.3229
 263	14624.664	 8946.820	4073584.4749    2522936.6719    4195944.4044
1911	 8890.852	21493.262	4079044.3855    2517974.8478    4193578.3243
1941	 6445.128	20935.273	4079764.7688    2519022.9132    4192450.4263
